condition,gender,high_trust_img,identity,low_trust_img,range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_text.started,instru_text.stopped,instru_key_resp.keys,instru_key_resp.rt,instru_key_resp.started,instru_key_resp.stopped,fixation_text.started,fixation_text.stopped,first_image,identity,condition,rating_T1,image_t1.started,image_t1.stopped,rating_T1_keys.keys,rating_T1_keys.rt,rating_T1_keys.started,rating_T1_keys.stopped,slider_image.started,slider_image.stopped,confidence_T1_text.started,confidence_T1_text.stopped,confidence_T1_keys.keys,confidence_T1_keys.rt,confidence_T1_keys.started,confidence_T1_keys.stopped,slider_confidence_t1.started,slider_confidence_t1.stopped,confidence_T1,second_image,rating_T2,rating_change,image_t2.started,image_t2.stopped,rating_T2_keys.keys,rating_T2_keys.rt,rating_T2_keys.started,rating_T2_keys.stopped,slider_image_t2.started,slider_image_t2.stopped,confidence2_text.started,confidence2_text.stopped,confidence_T2_keys.keys,confidence_T2_keys.rt,confidence_T2_keys.started,confidence_T2_keys.stopped,slider_confidence_t2.started,slider_confidence_t2.stopped,confidence_T2,confidence_change,end_text.started,end_text.stopped,end_key_resp.keys,end_key_resp.rt,end_key_resp.started,end_key_resp.stopped,编号*,session,date,expName,psychopyVersion,frameRate,trials_file,
,,,,,,,,,,29.57944580000185,None,space,1.8006341000000248,29.57944580000185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
2,male,stimuli/0-20-6.jpg,20,stimuli/0-20-19.jpg,0.90625,0,0,0,14,,,,,,,49.1988513000033,None,stimuli/0-20-19.jpg,20,2,1,32.42799879999802,None,1,13.481808899996395,32.42799879999802,None,32.42799879999802,None,45.93975979999959,None,2,3.2381921999985934,45.93975979999959,None,45.93975979999959,None,2,stimuli/0-20-6.jpg,3,2,50.21898990000045,None,3,1.6687076000016532,50.21898990000045,None,50.21898990000045,None,51.9132849000016,None,4,1.8066154000043753,51.9132849000016,None,51.9132849000016,None,4,2,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
2,female,stimuli/1-4-13.jpg,4,stimuli/1-4-6.jpg,2.0,0,1,1,17,,,,,,,61.72176380000019,None,stimuli/1-4-6.jpg,4,2,1,54.756134700000985,None,1,6.11265380000259,54.756134700000985,None,54.756134700000985,None,60.894352600000275,None,1,0.8058863999976893,60.894352600000275,None,60.894352600000275,None,1,stimuli/1-4-13.jpg,2,1,62.730101499997545,None,2,2.182022599998163,62.730101499997545,None,62.730101499997545,None,64.93628519999766,None,2,1.0146953000003123,64.93628519999766,None,64.93628519999766,None,2,1,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
1,female,stimuli/1-24-13.jpg,24,stimuli/1-24-5.jpg,1.40625,0,2,2,8,,,,,,,69.96472630000062,None,stimuli/1-24-13.jpg,24,1,3,66.97976699999708,None,3,1.3101607999997213,66.97976699999708,None,66.97976699999708,None,68.31599670000287,None,3,1.6290654000040377,68.31599670000287,None,68.31599670000287,None,3,stimuli/1-24-5.jpg,4,1,70.96341889999894,None,4,0.3378856999988784,70.96341889999894,None,70.96341889999894,None,71.32554830000299,None,4,0.707837500005553,71.32554830000299,None,71.32554830000299,None,4,1,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
1,male,stimuli/0-25-20.jpg,25,stimuli/0-25-13.jpg,1.15625,0,3,3,11,,,,,,,74.0471452999991,None,stimuli/0-25-20.jpg,25,1,5,73.07082880000235,None,5,0.28679070000362117,73.07082880000235,None,73.07082880000235,None,73.38733700000012,None,5,0.6365680000017164,73.38733700000012,None,73.38733700000012,None,5,stimuli/0-25-13.jpg,6,1,75.06024549999711,None,6,0.2876399000015226,75.06024549999711,None,75.06024549999711,None,75.37326839999878,None,6,0.49875279999832856,75.37326839999878,None,75.37326839999878,None,6,1,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
1,male,stimuli/0-26-12.jpg,26,stimuli/0-26-3.jpg,1.59375,0,4,4,5,,,,,,,77.5991451000009,None,stimuli/0-26-12.jpg,26,1,7,76.89066009999806,None,7,0.22902279999834718,76.89066009999806,None,76.89066009999806,None,77.13729079999757,None,7,0.4492796999984421,77.13729079999757,None,77.13729079999757,None,7,stimuli/0-26-3.jpg,8,1,78.60713399999804,None,8,0.16070449999824632,78.60713399999804,None,78.60713399999804,None,78.78272399999696,None,8,0.3812543000021833,78.78272399999696,None,78.78272399999696,None,8,1,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
2,male,stimuli/0-9-3.jpg,9,stimuli/0-9-20.jpg,0.78125,0,5,5,9,,,,,,,80.97453340000357,None,stimuli/0-9-20.jpg,9,2,9,80.19357879999734,None,9,0.30616120000195224,80.19357879999734,None,80.19357879999734,None,80.51928420000331,None,9,0.43681730000389507,80.51928420000331,None,80.51928420000331,None,9,stimuli/0-9-3.jpg,1,-8,81.98560400000133,None,1,6.9315791000044555,81.98560400000133,None,81.98560400000133,None,88.94048969999858,None,1,1.4095247000004747,88.94048969999858,None,88.94048969999858,None,1,-8,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
1,female,stimuli/1-2-3.jpg,2,stimuli/1-2-9.jpg,1.6875,0,6,6,7,,,,,,,93.7716877999992,None,stimuli/1-2-3.jpg,2,1,1,91.3804719999971,None,1,0.9135089999981574,91.3804719999971,None,91.3804719999971,None,92.31657460000133,None,1,1.4381709000008414,92.31657460000133,None,92.31657460000133,None,1,stimuli/1-2-9.jpg,1,0,94.78119660000084,None,1,0.5420039000018733,94.78119660000084,None,94.78119660000084,None,95.34792819999711,None,1,0.46110890000272775,95.34792819999711,None,95.34792819999711,None,1,0,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
1,male,stimuli/0-3-4.jpg,3,stimuli/0-3-16.jpg,0.96875,0,7,7,12,,,,,,,101.09211669999786,None,stimuli/0-3-4.jpg,3,1,2,96.84985569999844,None,2,3.9752273999984027,96.84985569999844,None,96.84985569999844,None,100.84641330000159,None,2,0.22547389999817824,100.84641330000159,None,100.84641330000159,None,2,stimuli/0-3-16.jpg,3,1,102.10595959999773,None,3,0.23495260000345297,102.10595959999773,None,102.10595959999773,None,102.35766500000318,None,3,0.2452192999990075,102.35766500000318,None,102.35766500000318,None,3,1,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
2,male,stimuli/0-18-9.jpg,18,stimuli/0-18-18.jpg,1.1875,0,8,8,13,,,,,,,103.90066919999663,None,stimuli/0-18-18.jpg,18,2,4,103.63317690000258,None,4,0.1057788999969489,103.63317690000258,None,103.63317690000258,None,103.76043750000099,None,4,0.1265415000016219,103.76043750000099,None,103.76043750000099,None,4,stimuli/0-18-9.jpg,5,1,104.9072021000029,None,5,0.20897320000221953,104.9072021000029,None,104.9072021000029,None,105.1414162000001,None,5,0.7554801999940537,105.1414162000001,None,105.1414162000001,None,5,1,,,,,,,1,001,2025_Jul_28_0027,experiment3_1,2021.2.3,239.59269244533525,data\temp_trials_1.csv,
